NOC,Bronze,Gold,No Medals,Silver,Total Participations,"('Weight', 'mean')","('Weight', 'max')","('Weight', 'min')","('Height', 'mean')","('Height', 'max')","('Height', 'min')","('Sex', '<lambda>')",Sports_with_Medals,Total_Olympics,Total_Medal,Total_Sports
BEL,156.0,80.0,2987.0,176.0,3399,70.18411297440424,90.0,47.0,178.22830244189467,194.0,155.0,0.8428949691085613,23.0,47,41,41
BEN,0.0,0.0,69.0,0.0,69,67.64347826086956,89.0,48.0,174.28985507246378,192.0,157.0,0.7971014492753623,0.0,11,7,7
BER,1.0,0.0,186.0,0.0,187,71.51069518716578,90.0,53.0,178.14973262032086,193.0,156.0,0.8074866310160428,1.0,23,13,13
BHU,0.0,0.0,28.0,0.0,28,60.925000000000004,75.0,48.0,169.42857142857142,180.0,158.0,0.42857142857142855,0.0,9,2,2
BIH,0.0,0.0,98.0,0.0,98,69.02755102040817,90.0,48.0,176.55102040816325,193.0,163.0,0.6326530612244898,0.0,13,13,13
BIZ,0.0,0.0,69.0,0.0,69,67.71159420289855,85.0,47.0,174.91304347826087,188.0,157.0,0.8695652173913043,0.0,11,7,7
BLR,54.0,14.0,1365.0,24.0,1457,66.73514070006864,90.0,47.0,173.73232669869594,195.0,155.0,0.5401509951956074,17.0,12,35,35
BOH,9.0,0.0,137.0,1.0,147,70.7,70.7,70.7,179.75510204081633,183.0,165.0,0.9863945578231292,3.0,4,9,9
BOL,0.0,0.0,124.0,0.0,124,66.41854838709678,90.0,48.0,174.91935483870967,190.0,155.0,0.8064516129032258,0.0,19,15,15
BOT,0.0,0.0,86.0,1.0,87,66.11264367816092,85.0,48.0,176.64367816091954,194.0,162.0,0.9195402298850575,1.0,10,4,4
BRA,167.0,74.0,2768.0,148.0,3157,70.49360152043079,90.0,47.0,177.21254355400697,195.0,155.0,0.6962305986696231,15.0,30,41,41
BRN,1.0,1.0,112.0,1.0,115,66.51130434782608,85.0,49.0,174.57391304347826,195.0,155.0,0.782608695652174,1.0,9,8,8
BRU,0.0,0.0,9.0,0.0,9,68.30000000000001,90.0,51.0,169.77777777777777,180.0,160.0,0.8888888888888888,0.0,5,4,4
BUL,128.0,45.0,2759.0,111.0,3043,67.76201117318435,90.0,47.0,173.62142622412094,195.0,155.0,0.7078540913572132,19.0,39,39,39
BUR,0.0,0.0,38.0,0.0,38,71.76052631578948,88.0,51.0,178.0,195.0,158.0,0.6578947368421053,0.0,9,5,5
CAF,0.0,0.0,57.0,0.0,57,67.88947368421053,88.0,48.0,177.43859649122808,192.0,158.0,0.7543859649122807,0.0,10,8,8
CAM,0.0,0.0,58.0,0.0,58,61.86551724137931,80.0,48.0,168.81034482758622,183.0,155.0,0.7758620689655172,0.0,9,9,9
CAN,401.0,367.0,7163.0,371.0,8302,69.07961936882678,90.0,47.0,175.38520838352204,195.0,155.0,0.6180438448566611,37.0,49,53,53
CAY,0.0,0.0,69.0,0.0,69,72.65507246376811,88.0,48.0,178.7391304347826,188.0,157.0,0.8260869565217391,0.0,12,5,5
